"macaddress"
""
"da:3b:73:3e:54:62"
" 18:19:d6:46:8d:23"
" 3a:cb:67:a1:c7:08"
" 82:c9:72:43:a1:dc"
" de:08:db:23:e6:4b"
" 04:d6:aa:99:4d:81"
" b4:8b:19:8c:de:eb"
" 6e:75:01:cc:b0:0f"
" 22:91:35:3d:e1:dc"
" 24:18:1d:1d:91:ee"
" FAILED"
" 1a:50:3f:9e:47:e5"
" c6:de:bf:c8:9d:36"
" bc:41:01:5d:88:7a"
" b6:be:46:78:cd:24"
" 4e:9c:d8:64:b9:e8"
" 8a:c2:b2:54:ed:52"
"6c:c7:ec:86:6d:99"
" 3a:c1:2a:a3:c7:95"
" 5a:d2:74:eb:be:47"
" 48:a9:1c:b8:b1:85"
" 06:70:12:64:7d:80"
" f6:54:75:e8:3b:3c"
" 0a:da:0f:75:fe:d8"
" e6:35:3b:fe:bf:e1"
" d2:da:32:da:36:11"
" ee:dd:51:e3:01:e1"
" a6:8c:95:09:d7:52"
" c2:14:a8:3c:5d:8c"
" ce:59:89:9d:b3:8b"
" 10:e9:53:58:67:ea"
" 2e:29:2f:0c:8f:8e"
" a0:99:9b:35:8f:95"
" 82:45:00:9b:6e:6d"
"bc:41:01:5d:88:7a"
" 70:bb:e9:14:c6:d9"
" ae:6f:64:ba:67:ca"
" INCOMPLETE"
" 5c:99:60:63:ee:8b"
" fc:aa:b6:14:9c:49"
" de:34:fc:cb:6b:62"
" 28:31:66:4f:c0:99"
" 66:48:a5:dd:11:a2"
" 90:78:b2:d3:de:87"
" 86:fc:a4:c7:fe:09"
" f0:76:6f:db:ff:a5"
" 5a:f3:fc:1f:45:fd"
" 70:b7:aa:a2:9f:73"
" 52:30:62:52:80:e3"
" a6:49:88:a1:be:7e"
"d2:1e:c6:c4:11:ff"
" 96:b5:3c:c8:d5:5c"
" 3a:27:80:fe:c3:15"
" 82:c7:32:b5:d9:1f"
" 62:7f:05:e5:02:5a"
" ee:e5:0d:ef:64:aa"
" 6c:c7:ec:04:7e:87"
" 38:37:8b:fa:b6:c6"
" e6:00:e9:7d:7b:09"
" b4:c4:fc:ae:2a:fa"
" 0e:8b:f0:b0:a5:5b"
" 64:a2:f9:80:16:c9"
" 1c:56:fe:f6:b0:a1"
" ae:e8:3e:77:51:65"
" 12:a5:b6:4c:3d:ef"
" dc:b7:2e:c4:65:56"
" 6c:24:a6:31:6d:2f"
" ae:22:7d:8f:c6:a4"
" 5a:eb:f0:03:6f:4b"
" da:61:de:b0:1f:45"
" 16:75:6f:b8:d7:61"
" e4:a7:c5:89:52:8b"
" dc:b7:2e:c2:8a:26"
" 6e:c1:87:13:92:81"
" a2:4f:98:e5:aa:b1"
" 58:85:e9:af:da:fd"
"3a:27:80:fe:c3:15"
" 18:f0:e4:b9:b5:31"
" fe:5d:67:cc:8a:0e"
"4e:48:78:b8:61:ec"
" 94:65:2d:d1:de:78"
" 4e:07:01:3d:2b:80"
" 22:8e:16:16:dc:cb"
" 0e:da:cc:70:68:38"
" cc:9f:7a:99:ef:61"
" c2:36:bf:32:b8:e1"
" 44:46:87:32:be:65"
" 2e:b4:0a:05:e4:11"
" c2:fb:8a:2a:53:40"
" 92:51:9e:0c:b0:52"
" 00:ec:0a:96:f3:bf"
" 9c:6b:72:57:5c:75"
" ee:5c:71:0b:d4:a5"
" 3a:b6:5b:44:ee:64"
"fa:94:cc:cd:88:4f"
" ee:8e:cb:a3:d5:28"
" 52:7e:e6:a2:83:7c"
" fc:19:99:e6:ec:30"
" ca:2d:34:71:25:6a"
" 6a:07:f8:9f:ec:23"
" 0e:f2:e4:5b:7f:8f"
